bedrooms,bathrooms,living_area,zipcode,city,state,latitude,longitude,property_type,year_built,has_garage,has_pool,has_fireplace,rent
2.0,2.0,1400.0,02190,Weymouth,MA,,,condos,,0,0,0,3000.0
1.0,1.0,700.0,02190,Weymouth,MA,,,apartment,,0,0,0,2200.0
2.0,1.0,1100.0,02190,Weymouth,MA,,,townhomes,,0,0,0,2500.0
2.0,1.0,1062.0,02190,Weymouth,MA,,,apartment,,0,0,0,3200.0
2.0,2.0,1100.0,02190,Weymouth,MA,,,townhomes,,0,0,0,3130.0
2.0,1.0,9999.0,02190,Weymouth,MA,,,apartment,,0,0,0,2200.0
2.0,1.0,984.0,02190,Weymouth,MA,,,single_family,,0,0,0,2500.0
1.0,1.0,700.0,02190,Weymouth,MA,,,apartment,,0,0,0,2200.0
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
2.0,1.0,910.0,02190,Weymouth,MA,,,condos,,0,0,0,2300.0
1.0,1.0,900.0,02190,Weymouth,MA,,,apartment,,0,0,0,2300.0
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
1.0,1.0,,02190,Weymouth,MA,,,single_family,,0,0,0,2095.0
2.0,1.0,878.0,02190,Weymouth,MA,,,single_family,,0,0,0,2800.0
2.0,1.0,912.0,02190,Weymouth,MA,,,condos,,0,0,0,2300.0
2.0,1.0,910.0,02190,Weymouth,MA,,,single_family,,0,0,0,2800.0
3.0,1.0,1104.0,02190,Weymouth,MA,,,apartment,,0,0,0,3000.0
1.0,1.0,750.0,02190,Weymouth,MA,,,apartment,,0,0,0,2200.0
1.0,1.0,680.0,02190,Weymouth,MA,,,condos,,0,0,0,2000.0
1.0,1.0,,02190,Weymouth,MA,,,apartment,,0,0,0,2000.0
2.0,2.0,1250.0,02190,Weymouth,MA,,,condos,,0,0,0,2300.0
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
,,,02190,Weymouth,MA,,,apartment,,0,0,0,
2.0,1.0,,02190,Weymouth,MA,,,condos,,0,0,0,2200.0
1.0,1.0,624.0,02190,Weymouth,MA,,,apartment,,0,0,0,2495.0
1.0,1.0,624.0,02190,Weymouth,MA,,,apartment,,0,0,0,2495.0
0.0,1.0,515.0,02190,Weymouth,MA,,,apartment,,0,0,0,2078.0
0.0,1.0,457.0,02190,Weymouth,MA,,,apartment,,0,0,0,2501.0
1.0,1.0,718.0,02190,Weymouth,MA,,,apartment,,0,0,0,2336.0
0.0,1.0,531.0,02190,Weymouth,MA,,,apartment,,0,0,0,2501.0
